year,temp,5%,95%
1858,-0.06,-0.23,0.06
1857,-0.05,-0.23,0.06
1856,-0.05,-0.23,0.06
1855,-0.04,-0.23,0.07
1854,-0.04,-0.24,0.07
1853,-0.04,-0.24,0.08
1852,-0.04,-0.24,0.08
1851,-0.04,-0.24,0.08
1850,-0.04,-0.25,0.07
1849,-0.05,-0.26,0.06
1848,-0.07,-0.26,0.06
1847,-0.08,-0.27,0.05
1846,-0.09,-0.28,0.04
1845,-0.1,-0.28,0.04
1844,-0.11,-0.29,0.03
1843,-0.12,-0.29,0.02
1842,-0.13,-0.3,0.01
1841,-0.13,-0.31,0
1840,-0.14,-0.31,0
1839,-0.14,-0.31,-0.01
1838,-0.14,-0.32,-0.01
1837,-0.13,-0.31,-0.01
1836,-0.13,-0.31,0
1835,-0.12,-0.3,0.01
1834,-0.11,-0.29,0.02
1833,-0.09,-0.27,0.04
1832,-0.08,-0.25,0.05
1831,-0.06,-0.23,0.07
1830,-0.05,-0.21,0.08
1829,-0.04,-0.2,0.09
1828,-0.04,-0.19,0.1
1827,-0.03,-0.18,0.1
1826,-0.04,-0.18,0.1
1825,-0.04,-0.19,0.1
1824,-0.05,-0.2,0.09
1823,-0.07,-0.22,0.08
1822,-0.08,-0.23,0.07
1821,-0.1,-0.25,0.05
1820,-0.11,-0.27,0.03
1819,-0.13,-0.29,0.02
1818,-0.14,-0.31,0
1817,-0.15,-0.32,-0.01
1816,-0.15,-0.33,-0.02
1815,-0.15,-0.33,-0.02
1814,-0.15,-0.32,-0.02
1813,-0.14,-0.32,-0.01
1812,-0.13,-0.3,0
1811,-0.11,-0.28,0.02
1810,-0.09,-0.26,0.04
1809,-0.07,-0.23,0.06
1808,-0.05,-0.2,0.09
1807,-0.02,-0.17,0.11
1806,0,-0.15,0.13
1805,0.03,-0.13,0.15
1804,0.05,-0.11,0.17
1803,0.07,-0.1,0.18
1802,0.08,-0.09,0.19
1801,0.09,-0.09,0.2
1800,0.09,-0.09,0.2
1799,0.09,-0.09,0.2
1798,0.09,-0.1,0.2
1797,0.08,-0.1,0.2
1796,0.08,-0.11,0.19
1795,0.07,-0.12,0.19
1794,0.06,-0.13,0.19
1793,0.05,-0.13,0.18
1792,0.04,-0.14,0.18
1791,0.03,-0.15,0.17
1790,0.01,-0.16,0.16
1789,0,-0.17,0.15
1788,-0.01,-0.17,0.14
1787,-0.02,-0.18,0.13
1786,-0.03,-0.18,0.13
1785,-0.03,-0.18,0.12
1784,-0.03,-0.18,0.12
1783,-0.03,-0.19,0.12
1782,-0.03,-0.19,0.12
1781,-0.02,-0.19,0.13
1780,-0.02,-0.18,0.14
1779,-0.01,-0.18,0.14
1778,0,-0.17,0.15
1777,0.01,-0.17,0.16
1776,0.01,-0.16,0.17
1775,0.02,-0.16,0.17
1774,0.02,-0.15,0.18
1773,0.03,-0.15,0.18
1772,0.03,-0.15,0.19
1771,0.03,-0.15,0.18
1770,0.03,-0.15,0.18
1769,0.03,-0.15,0.18
1768,0.03,-0.15,0.18
1767,0.03,-0.15,0.18
1766,0.03,-0.15,0.19
1765,0.03,-0.15,0.19
1764,0.03,-0.15,0.19
1763,0.03,-0.15,0.19
1762,0.03,-0.16,0.19
1761,0.02,-0.16,0.19
1760,0.02,-0.16,0.19
1759,0.01,-0.16,0.18
1758,0.01,-0.17,0.18
1757,0,-0.17,0.18
1756,-0.01,-0.18,0.18
1755,-0.01,-0.2,0.17
1754,-0.02,-0.21,0.17
1753,-0.03,-0.23,0.17
1752,-0.03,-0.24,0.16
1751,-0.03,-0.25,0.16
1750,-0.04,-0.26,0.16
1749,-0.04,-0.27,0.16
1748,-0.05,-0.27,0.16
1747,-0.05,-0.27,0.15
1746,-0.06,-0.27,0.14
1745,-0.06,-0.26,0.14
1744,-0.06,-0.26,0.13
1743,-0.06,-0.25,0.13
1742,-0.06,-0.25,0.12
1741,-0.06,-0.24,0.12
1740,-0.05,-0.24,0.12
1739,-0.05,-0.23,0.13
1738,-0.04,-0.23,0.13
1737,-0.03,-0.22,0.14
1736,-0.03,-0.22,0.14
1735,-0.02,-0.22,0.15
1734,-0.02,-0.22,0.15
1733,-0.01,-0.22,0.16
1732,-0.01,-0.22,0.16
1731,0,-0.22,0.17
1730,0,-0.23,0.17
1729,0,-0.23,0.18
1728,0.01,-0.23,0.18
1727,0.01,-0.23,0.18
1726,0.01,-0.23,0.18
1725,0.01,-0.23,0.18
1724,0.01,-0.22,0.18
1723,0.01,-0.22,0.18
1722,0,-0.21,0.17
1721,0,-0.21,0.17
1720,-0.01,-0.21,0.17
1719,-0.02,-0.21,0.16
1718,-0.03,-0.22,0.15
1717,-0.04,-0.22,0.15
1716,-0.04,-0.23,0.14
1715,-0.05,-0.23,0.14
1714,-0.06,-0.24,0.13
1713,-0.06,-0.25,0.13
1712,-0.07,-0.26,0.12
1711,-0.08,-0.27,0.11
1710,-0.09,-0.28,0.1
1709,-0.1,-0.29,0.09
1708,-0.11,-0.31,0.08
1707,-0.12,-0.33,0.07
1706,-0.14,-0.34,0.06
1705,-0.15,-0.36,0.04
1704,-0.15,-0.37,0.03
1703,-0.16,-0.38,0.02
1702,-0.16,-0.39,0.02
1701,-0.17,-0.4,0.01
1700,-0.16,-0.4,0.01
1699,-0.15,-0.4,0.02
1698,-0.14,-0.4,0.02
1697,-0.12,-0.39,0.03
1696,-0.1,-0.38,0.05
1695,-0.08,-0.37,0.07
1694,-0.06,-0.35,0.09
1693,-0.03,-0.34,0.1
1692,-0.01,-0.33,0.12
1691,0,-0.32,0.14
1690,0.01,-0.31,0.15
1689,0.02,-0.31,0.16
1688,0.02,-0.31,0.16
1687,0.02,-0.31,0.17
1686,0.01,-0.32,0.16
1685,-0.01,-0.33,0.16
1684,-0.03,-0.35,0.15
1683,-0.05,-0.36,0.14
1682,-0.07,-0.37,0.13
1681,-0.09,-0.39,0.11
1680,-0.11,-0.4,0.1
1679,-0.12,-0.41,0.09
1678,-0.13,-0.42,0.08
1677,-0.14,-0.43,0.07
1676,-0.15,-0.44,0.06
1675,-0.15,-0.44,0.06
1674,-0.15,-0.44,0.06
1673,-0.14,-0.44,0.06
1672,-0.14,-0.44,0.06
1671,-0.13,-0.44,0.06
1670,-0.12,-0.43,0.06
1669,-0.11,-0.43,0.07
1668,-0.1,-0.42,0.07
1667,-0.09,-0.41,0.08
1666,-0.08,-0.4,0.08
1665,-0.07,-0.39,0.09
1664,-0.05,-0.38,0.11
1663,-0.04,-0.37,0.12
1662,-0.02,-0.36,0.13
1661,-0.01,-0.34,0.14
1660,0,-0.33,0.15
1659,0.01,-0.32,0.15
1658,0.02,-0.31,0.16
1657,0.02,-0.31,0.16
1656,0.01,-0.31,0.15
1655,0.01,-0.32,0.15
1654,0,-0.33,0.14
1653,-0.01,-0.34,0.13
1652,-0.03,-0.36,0.12
1651,-0.05,-0.39,0.11
1650,-0.06,-0.41,0.11
1649,-0.08,-0.43,0.1
1648,-0.1,-0.44,0.09
1647,-0.11,-0.45,0.08
1646,-0.12,-0.46,0.07
1645,-0.13,-0.46,0.06
1644,-0.14,-0.45,0.06
1643,-0.14,-0.44,0.06
1642,-0.13,-0.43,0.06
1641,-0.12,-0.41,0.07
1640,-0.11,-0.4,0.08
1639,-0.1,-0.38,0.09
1638,-0.08,-0.37,0.1
1637,-0.07,-0.35,0.12
1636,-0.05,-0.34,0.13
1635,-0.04,-0.34,0.14
1634,-0.04,-0.33,0.14
1633,-0.03,-0.33,0.14
1632,-0.04,-0.33,0.14
1631,-0.04,-0.33,0.13
1630,-0.05,-0.34,0.12
1629,-0.06,-0.35,0.11
1628,-0.07,-0.35,0.1
1627,-0.08,-0.36,0.09
1626,-0.09,-0.37,0.08
1625,-0.1,-0.38,0.08
1624,-0.1,-0.39,0.08
1623,-0.1,-0.39,0.08
1622,-0.1,-0.4,0.08
1621,-0.1,-0.4,0.09
1620,-0.09,-0.4,0.1
1619,-0.08,-0.41,0.11
1618,-0.07,-0.41,0.13
1617,-0.06,-0.41,0.14
1616,-0.06,-0.42,0.14
1615,-0.05,-0.42,0.15
1614,-0.05,-0.43,0.15
1613,-0.05,-0.44,0.15
1612,-0.05,-0.44,0.14
1611,-0.06,-0.45,0.13
1610,-0.07,-0.46,0.12
1609,-0.08,-0.47,0.11
1608,-0.09,-0.47,0.1
1607,-0.1,-0.48,0.08
1606,-0.11,-0.48,0.07
1605,-0.13,-0.48,0.06
1604,-0.13,-0.48,0.05
1603,-0.14,-0.47,0.05
1602,-0.14,-0.47,0.04
1601,-0.14,-0.46,0.04
1600,-0.13,-0.45,0.05
1599,-0.12,-0.44,0.05
1598,-0.11,-0.43,0.06
1597,-0.1,-0.41,0.07
1596,-0.09,-0.4,0.07
1595,-0.08,-0.39,0.08
1594,-0.07,-0.38,0.09
1593,-0.06,-0.37,0.09
1592,-0.06,-0.36,0.1
1591,-0.06,-0.35,0.1
1590,-0.06,-0.34,0.1
1589,-0.05,-0.34,0.1
1588,-0.05,-0.34,0.1
1587,-0.05,-0.33,0.1
1586,-0.05,-0.33,0.1
1585,-0.05,-0.33,0.1
1584,-0.05,-0.33,0.1
1583,-0.05,-0.34,0.1
1582,-0.05,-0.34,0.11
1581,-0.04,-0.34,0.11
1580,-0.04,-0.34,0.12
1579,-0.04,-0.34,0.12
1578,-0.03,-0.34,0.13
1577,-0.02,-0.34,0.13
1576,-0.01,-0.34,0.14
1575,0,-0.33,0.15
1574,0,-0.33,0.16
1573,0.01,-0.33,0.17
1572,0.02,-0.32,0.17
1571,0.03,-0.32,0.18
1570,0.04,-0.31,0.19
1569,0.06,-0.3,0.2
1568,0.07,-0.29,0.2
1567,0.08,-0.28,0.21
1566,0.09,-0.27,0.22
1565,0.1,-0.26,0.23
1564,0.1,-0.26,0.23
1563,0.1,-0.25,0.23
1562,0.1,-0.25,0.23
1561,0.09,-0.25,0.22
1560,0.09,-0.26,0.21
1559,0.08,-0.26,0.2
1558,0.07,-0.27,0.2
1557,0.06,-0.28,0.19
1556,0.06,-0.28,0.19
1555,0.05,-0.29,0.18
1554,0.04,-0.29,0.18
1553,0.04,-0.3,0.18
1552,0.03,-0.31,0.18
1551,0.03,-0.31,0.18
1550,0.02,-0.32,0.17
1549,0.01,-0.33,0.17
1548,0,-0.33,0.17
1547,-0.01,-0.34,0.16
1546,-0.02,-0.34,0.15
1545,-0.02,-0.35,0.15
1544,-0.03,-0.35,0.15
1543,-0.03,-0.35,0.14
1542,-0.02,-0.34,0.14
1541,-0.02,-0.34,0.15
1540,-0.01,-0.33,0.15
1539,0,-0.33,0.16
1538,0.01,-0.32,0.16
1537,0.02,-0.32,0.17
1536,0.02,-0.32,0.18
1535,0.03,-0.32,0.18
1534,0.03,-0.33,0.18
1533,0.03,-0.34,0.19
1532,0.03,-0.34,0.19
1531,0.02,-0.35,0.19
1530,0.02,-0.36,0.18
1529,0.01,-0.37,0.18
1528,0,-0.38,0.17
1527,-0.01,-0.38,0.17
1526,-0.02,-0.39,0.16
1525,-0.03,-0.4,0.15
1524,-0.04,-0.4,0.15
1523,-0.05,-0.41,0.14
1522,-0.05,-0.41,0.14
1521,-0.05,-0.41,0.14
1520,-0.05,-0.41,0.14
1519,-0.05,-0.4,0.14
1518,-0.05,-0.4,0.15
1517,-0.04,-0.39,0.15
1516,-0.03,-0.38,0.16
1515,-0.02,-0.37,0.16
1514,-0.01,-0.36,0.17
1513,0,-0.35,0.18
1512,0,-0.35,0.19
1511,0.01,-0.34,0.19
1510,0.02,-0.34,0.2
1509,0.02,-0.33,0.2
1508,0.02,-0.33,0.2
1507,0.02,-0.33,0.2
1506,0.02,-0.33,0.2
1505,0.02,-0.33,0.2
1504,0.01,-0.33,0.19
1503,0,-0.33,0.18
1502,0,-0.33,0.18
1501,-0.01,-0.33,0.17
1500,-0.01,-0.33,0.16
1499,-0.02,-0.33,0.16
1498,-0.02,-0.33,0.15
1497,-0.02,-0.33,0.15
1496,-0.02,-0.33,0.15
1495,-0.02,-0.33,0.15
1494,-0.02,-0.33,0.15
1493,-0.02,-0.32,0.16
1492,-0.02,-0.32,0.16
1491,-0.01,-0.32,0.17
1490,-0.01,-0.31,0.17
1489,-0.01,-0.31,0.18
1488,-0.01,-0.31,0.18
1487,-0.01,-0.31,0.18
1486,-0.02,-0.31,0.17
1485,-0.02,-0.31,0.17
1484,-0.03,-0.32,0.16
1483,-0.04,-0.32,0.16
1482,-0.05,-0.33,0.15
1481,-0.07,-0.33,0.14
1480,-0.08,-0.34,0.13
1479,-0.09,-0.35,0.12
1478,-0.1,-0.36,0.12
1477,-0.12,-0.37,0.11
1476,-0.13,-0.38,0.1
1475,-0.13,-0.39,0.1
1474,-0.14,-0.39,0.09
1473,-0.14,-0.4,0.09
1472,-0.14,-0.4,0.09
1471,-0.14,-0.4,0.09
1470,-0.14,-0.4,0.09
1469,-0.13,-0.4,0.09
1468,-0.13,-0.4,0.09
1467,-0.13,-0.4,0.09
1466,-0.13,-0.4,0.09
1465,-0.13,-0.39,0.09
1464,-0.13,-0.39,0.09
1463,-0.13,-0.38,0.09
1462,-0.13,-0.38,0.08
1461,-0.13,-0.38,0.08
1460,-0.14,-0.38,0.08
1459,-0.14,-0.38,0.07
1458,-0.14,-0.38,0.07
1457,-0.15,-0.38,0.07
1456,-0.15,-0.38,0.07
1455,-0.15,-0.38,0.07
1454,-0.14,-0.37,0.07
1453,-0.14,-0.37,0.08
1452,-0.13,-0.36,0.09
1451,-0.11,-0.34,0.1
1450,-0.1,-0.33,0.11
1449,-0.08,-0.31,0.12
1448,-0.07,-0.3,0.14
1447,-0.05,-0.29,0.15
1446,-0.04,-0.28,0.16
1445,-0.02,-0.27,0.17
1444,-0.01,-0.26,0.18
1443,0,-0.25,0.19
1442,0.01,-0.25,0.2
1441,0.02,-0.25,0.2
1440,0.02,-0.24,0.2
1439,0.03,-0.24,0.21
1438,0.04,-0.23,0.21
1437,0.05,-0.23,0.22
1436,0.06,-0.22,0.22
1435,0.07,-0.21,0.23
1434,0.08,-0.19,0.24
1433,0.08,-0.18,0.24
1432,0.09,-0.17,0.25
1431,0.1,-0.16,0.26
1430,0.1,-0.16,0.26
1429,0.1,-0.15,0.26
1428,0.1,-0.15,0.26
1427,0.1,-0.15,0.26
1426,0.1,-0.15,0.25
1425,0.09,-0.15,0.25
1424,0.09,-0.16,0.25
1423,0.08,-0.16,0.24
1422,0.07,-0.17,0.23
1421,0.07,-0.18,0.23
1420,0.06,-0.19,0.22
1419,0.06,-0.2,0.22
1418,0.06,-0.21,0.22
1417,0.05,-0.21,0.22
1416,0.05,-0.22,0.21
1415,0.06,-0.22,0.21
1414,0.06,-0.22,0.21
1413,0.06,-0.21,0.22
1412,0.07,-0.21,0.22
1411,0.08,-0.2,0.23
1410,0.08,-0.19,0.23
1409,0.09,-0.18,0.24
1408,0.09,-0.17,0.24
1407,0.09,-0.16,0.25
1406,0.09,-0.15,0.25
1405,0.09,-0.15,0.25
1404,0.08,-0.15,0.25
1403,0.07,-0.16,0.25
1402,0.07,-0.16,0.24
1401,0.06,-0.18,0.24
1400,0.05,-0.19,0.23
1399,0.04,-0.21,0.22
1398,0.03,-0.22,0.21
1397,0.03,-0.24,0.21
1396,0.03,-0.25,0.2
1395,0.03,-0.26,0.2
1394,0.03,-0.26,0.2
1393,0.04,-0.26,0.21
1392,0.04,-0.26,0.21
1391,0.05,-0.26,0.21
1390,0.05,-0.26,0.22
1389,0.06,-0.25,0.22
1388,0.06,-0.25,0.22
1387,0.06,-0.24,0.22
1386,0.07,-0.23,0.22
1385,0.07,-0.23,0.23
1384,0.07,-0.22,0.23
1383,0.07,-0.22,0.23
1382,0.06,-0.22,0.23
1381,0.06,-0.22,0.23
1380,0.06,-0.22,0.23
1379,0.05,-0.23,0.23
1378,0.05,-0.23,0.23
1377,0.05,-0.23,0.23
1376,0.05,-0.23,0.23
1375,0.05,-0.22,0.23
1374,0.05,-0.22,0.23
1373,0.05,-0.21,0.23
1372,0.06,-0.2,0.23
1371,0.06,-0.19,0.24
1370,0.05,-0.18,0.23
1369,0.05,-0.18,0.23
1368,0.05,-0.18,0.23
1367,0.04,-0.17,0.23
1366,0.04,-0.17,0.22
1365,0.03,-0.18,0.22
1364,0.02,-0.18,0.21
1363,0,-0.19,0.2
1362,-0.01,-0.21,0.19
1361,-0.02,-0.22,0.18
1360,-0.03,-0.23,0.18
1359,-0.04,-0.24,0.17
1358,-0.04,-0.25,0.17
1357,-0.05,-0.25,0.17
1356,-0.05,-0.26,0.16
1355,-0.06,-0.27,0.16
1354,-0.06,-0.27,0.16
1353,-0.06,-0.28,0.16
1352,-0.07,-0.28,0.16
1351,-0.07,-0.29,0.16
1350,-0.07,-0.29,0.16
1349,-0.08,-0.29,0.15
1348,-0.08,-0.28,0.16
1347,-0.08,-0.28,0.15
1346,-0.07,-0.26,0.16
1345,-0.06,-0.25,0.16
1344,-0.06,-0.24,0.17
1343,-0.05,-0.22,0.17
1342,-0.04,-0.21,0.18
1341,-0.02,-0.2,0.19
1340,-0.01,-0.19,0.2
1339,-0.01,-0.18,0.2
1338,0,-0.17,0.21
1337,0.01,-0.16,0.22
1336,0.01,-0.16,0.23
1335,0.02,-0.15,0.23
1334,0.03,-0.14,0.24
1333,0.04,-0.14,0.25
1332,0.05,-0.13,0.26
1331,0.07,-0.11,0.26
1330,0.08,-0.1,0.27
1329,0.09,-0.09,0.28
1328,0.1,-0.08,0.28
1327,0.11,-0.07,0.29
1326,0.12,-0.06,0.29
1325,0.12,-0.05,0.29
1324,0.12,-0.05,0.29
1323,0.12,-0.05,0.29
1322,0.12,-0.05,0.28
1321,0.11,-0.05,0.28
1320,0.11,-0.05,0.27
1319,0.11,-0.05,0.27
1318,0.11,-0.05,0.27
1317,0.1,-0.05,0.27
1316,0.1,-0.05,0.27
1315,0.1,-0.06,0.27
1314,0.1,-0.06,0.27
1313,0.09,-0.06,0.27
1312,0.09,-0.07,0.27
1311,0.08,-0.07,0.27
1310,0.07,-0.08,0.26
1309,0.07,-0.08,0.26
1308,0.06,-0.09,0.25
1307,0.05,-0.1,0.24
1306,0.04,-0.1,0.23
1305,0.03,-0.11,0.23
1304,0.02,-0.12,0.22
1303,0.01,-0.13,0.21
1302,-0.01,-0.14,0.2
1301,-0.02,-0.15,0.2
1300,-0.02,-0.16,0.19
1299,-0.03,-0.16,0.19
1298,-0.04,-0.17,0.19
1297,-0.04,-0.17,0.18
1296,-0.05,-0.18,0.18
1295,-0.05,-0.18,0.18
1294,-0.05,-0.18,0.18
1293,-0.05,-0.19,0.18
1292,-0.05,-0.19,0.18
1291,-0.05,-0.19,0.19
1290,-0.04,-0.19,0.19
1289,-0.04,-0.18,0.2
1288,-0.03,-0.18,0.21
1287,-0.02,-0.18,0.21
1286,-0.01,-0.18,0.22
1285,0,-0.18,0.23
1284,0.01,-0.18,0.23
1283,0.02,-0.18,0.23
1282,0.02,-0.19,0.24
1281,0.02,-0.19,0.24
1280,0.02,-0.2,0.24
1279,0.02,-0.2,0.24
1278,0.02,-0.2,0.24
1277,0.02,-0.2,0.24
1276,0.02,-0.21,0.24
1275,0.02,-0.2,0.24
1274,0.03,-0.2,0.24
1273,0.03,-0.2,0.24
1272,0.02,-0.2,0.24
1271,0.02,-0.19,0.23
1270,0.02,-0.19,0.23
1269,0.02,-0.19,0.23
1268,0.01,-0.19,0.22
1267,0.01,-0.18,0.22
1266,0,-0.18,0.22
1265,0,-0.18,0.23
1264,0,-0.17,0.23
1263,0,-0.16,0.23
1262,0,-0.16,0.23
1261,0.01,-0.15,0.24
1260,0.01,-0.14,0.24
1259,0.03,-0.13,0.25
1258,0.04,-0.13,0.25
1257,0.06,-0.12,0.26
1256,0.07,-0.11,0.27
1255,0.09,-0.11,0.28
1254,0.1,-0.1,0.29
1253,0.12,-0.1,0.31
1252,0.13,-0.09,0.32
1251,0.13,-0.09,0.33
1250,0.14,-0.09,0.34
1249,0.14,-0.08,0.34
1248,0.14,-0.08,0.35
1247,0.14,-0.08,0.35
1246,0.14,-0.07,0.35
1245,0.13,-0.07,0.35
1244,0.13,-0.07,0.35
1243,0.12,-0.07,0.34
1242,0.11,-0.07,0.34
1241,0.11,-0.07,0.33
1240,0.1,-0.07,0.33
1239,0.09,-0.07,0.32
1238,0.08,-0.08,0.31
1237,0.07,-0.09,0.3
1236,0.06,-0.1,0.29
1235,0.05,-0.11,0.29
1234,0.04,-0.11,0.28
1233,0.03,-0.12,0.27
1232,0.03,-0.12,0.27
1231,0.03,-0.12,0.27
1230,0.03,-0.12,0.27
1229,0.03,-0.11,0.27
1228,0.04,-0.1,0.28
1227,0.05,-0.09,0.28
1226,0.06,-0.08,0.28
1225,0.06,-0.07,0.29
1224,0.07,-0.06,0.29
1223,0.07,-0.06,0.29
1222,0.07,-0.06,0.29
1221,0.07,-0.06,0.28
1220,0.07,-0.07,0.28
1219,0.06,-0.08,0.27
1218,0.05,-0.09,0.26
1217,0.05,-0.1,0.26
1216,0.04,-0.11,0.26
1215,0.04,-0.11,0.25
1214,0.04,-0.11,0.26
1213,0.04,-0.11,0.26
1212,0.04,-0.11,0.26
1211,0.04,-0.1,0.27
1210,0.05,-0.1,0.27
1209,0.05,-0.1,0.27
1208,0.04,-0.11,0.28
1207,0.04,-0.11,0.28
1206,0.04,-0.11,0.28
1205,0.04,-0.12,0.28
1204,0.04,-0.12,0.28
1203,0.03,-0.12,0.28
1202,0.03,-0.12,0.28
1201,0.03,-0.12,0.28
1200,0.03,-0.12,0.27
1199,0.02,-0.12,0.27
1198,0.02,-0.12,0.27
1197,0.02,-0.13,0.27
1196,0.02,-0.13,0.27
1195,0.02,-0.13,0.26
1194,0.02,-0.13,0.26
1193,0.02,-0.13,0.26
1192,0.02,-0.13,0.26
1191,0.03,-0.13,0.26
1190,0.03,-0.12,0.27
1189,0.04,-0.12,0.28
1188,0.05,-0.11,0.29
1187,0.06,-0.1,0.3
1186,0.07,-0.09,0.32
1185,0.08,-0.08,0.33
1184,0.08,-0.08,0.34
1183,0.09,-0.08,0.35
1182,0.09,-0.08,0.35
1181,0.09,-0.08,0.35
1180,0.09,-0.08,0.35
1179,0.09,-0.08,0.35
1178,0.09,-0.08,0.34
1177,0.08,-0.08,0.34
1176,0.08,-0.07,0.33
1175,0.09,-0.07,0.33
1174,0.09,-0.07,0.32
1173,0.09,-0.06,0.32
1172,0.1,-0.06,0.33
1171,0.11,-0.05,0.33
1170,0.12,-0.04,0.33
1169,0.13,-0.03,0.34
1168,0.14,-0.02,0.35
1167,0.15,-0.01,0.36
1166,0.16,0,0.37
1165,0.17,0.01,0.38
1164,0.17,0.02,0.38
1163,0.18,0.02,0.39
1162,0.18,0.02,0.39
1161,0.18,0.01,0.39
1160,0.17,0.01,0.39
1159,0.17,0,0.39
1158,0.16,0,0.38
1157,0.16,-0.02,0.38
1156,0.15,-0.02,0.38
1155,0.14,-0.03,0.37
1154,0.13,-0.04,0.37
1153,0.12,-0.05,0.36
1152,0.11,-0.06,0.35
1151,0.1,-0.07,0.33
1150,0.09,-0.08,0.32
1149,0.08,-0.09,0.31
1148,0.07,-0.09,0.3
1147,0.06,-0.1,0.3
1146,0.06,-0.11,0.3
1145,0.06,-0.11,0.29
1144,0.05,-0.11,0.3
1143,0.05,-0.11,0.3
1142,0.05,-0.11,0.3
1141,0.05,-0.12,0.3
1140,0.05,-0.12,0.29
1139,0.04,-0.13,0.29
1138,0.04,-0.13,0.28
1137,0.03,-0.14,0.28
1136,0.02,-0.14,0.27
1135,0.01,-0.15,0.26
