Date,Ha,Month,Unit,Unit_TW,Value,Year
9/1/04,722480.9433,9,Hectares,Western Little Karoo,0,2004
10/1/04,722480.9433,10,Hectares,Western Little Karoo,0,2004
11/1/04,722480.9433,11,Hectares,Western Little Karoo,0,2004
12/1/04,722480.9433,12,Hectares,Western Little Karoo,0,2004
1/1/05,722480.9433,1,Hectares,Western Little Karoo,0,2005
2/1/05,722480.9433,2,Hectares,Western Little Karoo,0,2005
3/1/05,722480.9433,3,Hectares,Western Little Karoo,0,2005
4/1/05,722480.9433,4,Hectares,Western Little Karoo,0,2005
5/1/05,722480.9433,5,Hectares,Western Little Karoo,0,2005
6/1/05,722480.9433,6,Hectares,Western Little Karoo,0,2005
7/1/05,722480.9433,7,Hectares,Western Little Karoo,0,2005
8/1/05,722480.9433,8,Hectares,Western Little Karoo,0,2005
9/1/05,722480.9433,9,Hectares,Western Little Karoo,0,2005
10/1/05,722480.9433,10,Hectares,Western Little Karoo,0,2005
11/1/05,722480.9433,11,Hectares,Western Little Karoo,0,2005
12/1/05,722480.9433,12,Hectares,Western Little Karoo,0,2005
1/1/06,722480.9433,1,Hectares,Western Little Karoo,0,2006
2/1/06,722480.9433,2,Hectares,Western Little Karoo,0,2006
3/1/06,722480.9433,3,Hectares,Western Little Karoo,0,2006
4/1/06,722480.9433,4,Hectares,Western Little Karoo,0,2006
5/1/06,722480.9433,5,Hectares,Western Little Karoo,0,2006
6/1/06,722480.9433,6,Hectares,Western Little Karoo,0,2006
7/1/06,722480.9433,7,Hectares,Western Little Karoo,0,2006
8/1/06,722480.9433,8,Hectares,Western Little Karoo,0,2006
9/1/06,722480.9433,9,Hectares,Western Little Karoo,0,2006
10/1/06,722480.9433,10,Hectares,Western Little Karoo,0,2006
11/1/06,722480.9433,11,Hectares,Western Little Karoo,0,2006
12/1/06,722480.9433,12,Hectares,Western Little Karoo,0,2006
1/1/07,722480.9433,1,Hectares,Western Little Karoo,0,2007
2/1/07,722480.9433,2,Hectares,Western Little Karoo,0,2007
3/1/07,722480.9433,3,Hectares,Western Little Karoo,0,2007
4/1/07,722480.9433,4,Hectares,Western Little Karoo,31.97649681,2007
5/1/07,722480.9433,5,Hectares,Western Little Karoo,0,2007
6/1/07,722480.9433,6,Hectares,Western Little Karoo,0,2007
7/1/07,722480.9433,7,Hectares,Western Little Karoo,0,2007
8/1/07,722480.9433,8,Hectares,Western Little Karoo,0,2007
9/1/07,722480.9433,9,Hectares,Western Little Karoo,0,2007
10/1/07,722480.9433,10,Hectares,Western Little Karoo,0,2007
11/1/07,722480.9433,11,Hectares,Western Little Karoo,0,2007
12/1/07,722480.9433,12,Hectares,Western Little Karoo,85.82807188,2007
1/1/08,722480.9433,1,Hectares,Western Little Karoo,0,2008
2/1/08,722480.9433,2,Hectares,Western Little Karoo,0,2008
3/1/08,722480.9433,3,Hectares,Western Little Karoo,0,2008
4/1/08,722480.9433,4,Hectares,Western Little Karoo,0,2008
5/1/08,722480.9433,5,Hectares,Western Little Karoo,0,2008
6/1/08,722480.9433,6,Hectares,Western Little Karoo,0,2008
7/1/08,722480.9433,7,Hectares,Western Little Karoo,0,2008
8/1/08,722480.9433,8,Hectares,Western Little Karoo,0,2008
9/1/08,722480.9433,9,Hectares,Western Little Karoo,0,2008
10/1/08,722480.9433,10,Hectares,Western Little Karoo,0,2008
11/1/08,722480.9433,11,Hectares,Western Little Karoo,0,2008
12/1/08,722480.9433,12,Hectares,Western Little Karoo,0,2008
1/1/09,722480.9433,1,Hectares,Western Little Karoo,0,2009
2/1/09,722480.9433,2,Hectares,Western Little Karoo,0,2009
3/1/09,722480.9433,3,Hectares,Western Little Karoo,0,2009
4/1/09,722480.9433,4,Hectares,Western Little Karoo,0,2009
5/1/09,722480.9433,5,Hectares,Western Little Karoo,0,2009
6/1/09,722480.9433,6,Hectares,Western Little Karoo,0,2009
7/1/09,722480.9433,7,Hectares,Western Little Karoo,0,2009
8/1/09,722480.9433,8,Hectares,Western Little Karoo,0,2009
9/1/09,722480.9433,9,Hectares,Western Little Karoo,0,2009
10/1/09,722480.9433,10,Hectares,Western Little Karoo,0,2009
11/1/09,722480.9433,11,Hectares,Western Little Karoo,0,2009
12/1/09,722480.9433,12,Hectares,Western Little Karoo,21.45652656,2009
1/1/10,722480.9433,1,Hectares,Western Little Karoo,469.2432711,2010
2/1/10,722480.9433,2,Hectares,Western Little Karoo,0,2010
3/1/10,722480.9433,3,Hectares,Western Little Karoo,8497.606041,2010
4/1/10,722480.9433,4,Hectares,Western Little Karoo,0,2010
5/1/10,722480.9433,5,Hectares,Western Little Karoo,0,2010
6/1/10,722480.9433,6,Hectares,Western Little Karoo,0,2010
7/1/10,722480.9433,7,Hectares,Western Little Karoo,0,2010
8/1/10,722480.9433,8,Hectares,Western Little Karoo,0,2010
9/1/10,722480.9433,9,Hectares,Western Little Karoo,0,2010
10/1/10,722480.9433,10,Hectares,Western Little Karoo,0,2010
11/1/10,722480.9433,11,Hectares,Western Little Karoo,0,2010
12/1/10,722480.9433,12,Hectares,Western Little Karoo,3046.986697,2010
1/1/11,722480.9433,1,Hectares,Western Little Karoo,0,2011
2/1/11,722480.9433,2,Hectares,Western Little Karoo,0,2011
3/1/11,722480.9433,3,Hectares,Western Little Karoo,135.7391641,2011
4/1/11,722480.9433,4,Hectares,Western Little Karoo,0,2011
5/1/11,722480.9433,5,Hectares,Western Little Karoo,0,2011
6/1/11,722480.9433,6,Hectares,Western Little Karoo,0,2011
7/1/11,722480.9433,7,Hectares,Western Little Karoo,0,2011
8/1/11,722480.9433,8,Hectares,Western Little Karoo,0,2011
9/1/11,722480.9433,9,Hectares,Western Little Karoo,0,2011
10/1/11,722480.9433,10,Hectares,Western Little Karoo,0,2011
11/1/11,722480.9433,11,Hectares,Western Little Karoo,0,2011
12/1/11,722480.9433,12,Hectares,Western Little Karoo,0,2011
1/1/12,722480.9433,1,Hectares,Western Little Karoo,0.084145582,2012
2/1/12,722480.9433,2,Hectares,Western Little Karoo,0,2012
3/1/12,722480.9433,3,Hectares,Western Little Karoo,0,2012
4/1/12,722480.9433,4,Hectares,Western Little Karoo,0,2012
5/1/12,722480.9433,5,Hectares,Western Little Karoo,0,2012
6/1/12,722480.9433,6,Hectares,Western Little Karoo,0,2012
7/1/12,722480.9433,7,Hectares,Western Little Karoo,0,2012
8/1/12,722480.9433,8,Hectares,Western Little Karoo,0,2012
9/1/12,722480.9433,9,Hectares,Western Little Karoo,0,2012
10/1/12,722480.9433,10,Hectares,Western Little Karoo,0,2012
11/1/12,722480.9433,11,Hectares,Western Little Karoo,0,2012
12/1/12,722480.9433,12,Hectares,Western Little Karoo,215.5183333,2012
1/1/13,722480.9433,1,Hectares,Western Little Karoo,0,2013
2/1/13,722480.9433,2,Hectares,Western Little Karoo,0,2013
3/1/13,722480.9433,3,Hectares,Western Little Karoo,0,2013
4/1/13,722480.9433,4,Hectares,Western Little Karoo,0,2013
5/1/13,722480.9433,5,Hectares,Western Little Karoo,0,2013
6/1/13,722480.9433,6,Hectares,Western Little Karoo,0,2013
7/1/13,722480.9433,7,Hectares,Western Little Karoo,0,2013
8/1/13,722480.9433,8,Hectares,Western Little Karoo,0,2013
9/1/13,722480.9433,9,Hectares,Western Little Karoo,0,2013
10/1/13,722480.9433,10,Hectares,Western Little Karoo,0,2013
11/1/13,722480.9433,11,Hectares,Western Little Karoo,0,2013
12/1/13,722480.9433,12,Hectares,Western Little Karoo,251.0987212,2013
1/1/14,722480.9433,1,Hectares,Western Little Karoo,0,2014
2/1/14,722480.9433,2,Hectares,Western Little Karoo,0,2014
3/1/14,722480.9433,3,Hectares,Western Little Karoo,0,2014
4/1/14,722480.9433,4,Hectares,Western Little Karoo,0,2014
5/1/14,722480.9433,5,Hectares,Western Little Karoo,0,2014
6/1/14,722480.9433,6,Hectares,Western Little Karoo,0,2014
7/1/14,722480.9433,7,Hectares,Western Little Karoo,0,2014
8/1/14,722480.9433,8,Hectares,Western Little Karoo,0,2014
9/1/14,722480.9433,9,Hectares,Western Little Karoo,0,2014
10/1/14,722480.9433,10,Hectares,Western Little Karoo,0,2014
11/1/14,722480.9433,11,Hectares,Western Little Karoo,0,2014
12/1/14,722480.9433,12,Hectares,Western Little Karoo,0,2014
1/1/15,722480.9433,1,Hectares,Western Little Karoo,131.4486698,2015
2/1/15,722480.9433,2,Hectares,Western Little Karoo,5227.941013,2015
3/1/15,722480.9433,3,Hectares,Western Little Karoo,64.36892813,2015
4/1/15,722480.9433,4,Hectares,Western Little Karoo,0,2015
5/1/15,722480.9433,5,Hectares,Western Little Karoo,0,2015
6/1/15,722480.9433,6,Hectares,Western Little Karoo,0,2015
7/1/15,722480.9433,7,Hectares,Western Little Karoo,0,2015
8/1/15,722480.9433,8,Hectares,Western Little Karoo,0,2015
9/1/15,722480.9433,9,Hectares,Western Little Karoo,0,2015
10/1/15,722480.9433,10,Hectares,Western Little Karoo,0,2015
11/1/15,722480.9433,11,Hectares,Western Little Karoo,0,2015
12/1/15,722480.9433,12,Hectares,Western Little Karoo,0,2015
1/1/16,722480.9433,1,Hectares,Western Little Karoo,8338.95076,2016
2/1/16,722480.9433,2,Hectares,Western Little Karoo,13002.7805,2016
3/1/16,722480.9433,3,Hectares,Western Little Karoo,0,2016
4/1/16,722480.9433,4,Hectares,Western Little Karoo,0,2016
5/1/16,722480.9433,5,Hectares,Western Little Karoo,0,2016
6/1/16,722480.9433,6,Hectares,Western Little Karoo,0,2016
7/1/16,722480.9433,7,Hectares,Western Little Karoo,0.841542218,2016
8/1/16,722480.9433,8,Hectares,Western Little Karoo,21.45739375,2016
9/1/16,722480.9433,9,Hectares,Western Little Karoo,0,2016
10/1/16,722480.9433,10,Hectares,Western Little Karoo,0,2016
11/1/16,722480.9433,11,Hectares,Western Little Karoo,0,2016
12/1/16,722480.9433,12,Hectares,Western Little Karoo,21.45924844,2016
1/1/17,722480.9433,1,Hectares,Western Little Karoo,1298.577664,2017
2/1/17,722480.9433,2,Hectares,Western Little Karoo,16028.31393,2017
3/1/17,722480.9433,3,Hectares,Western Little Karoo,1757.566002,2017
4/1/17,722480.9433,4,Hectares,Western Little Karoo,0,2017
5/1/17,722480.9433,5,Hectares,Western Little Karoo,56.46744012,2017
6/1/17,722480.9433,6,Hectares,Western Little Karoo,0,2017
7/1/17,722480.9433,7,Hectares,Western Little Karoo,0,2017
8/1/17,722480.9433,8,Hectares,Western Little Karoo,0,2017
9/1/17,722480.9433,9,Hectares,Western Little Karoo,0,2017
10/1/17,722480.9433,10,Hectares,Western Little Karoo,0,2017
11/1/17,722480.9433,11,Hectares,Western Little Karoo,6844.620541,2017
12/1/17,722480.9433,12,Hectares,Western Little Karoo,0,2017
1/1/18,722480.9433,1,Hectares,Western Little Karoo,0,2018
2/1/18,722480.9433,2,Hectares,Western Little Karoo,504.9159816,2018
3/1/18,722480.9433,3,Hectares,Western Little Karoo,643.7738281,2018
4/1/18,722480.9433,4,Hectares,Western Little Karoo,0,2018
5/1/18,722480.9433,5,Hectares,Western Little Karoo,0,2018
6/1/18,722480.9433,6,Hectares,Western Little Karoo,0,2018
7/1/18,722480.9433,7,Hectares,Western Little Karoo,0,2018
8/1/18,722480.9433,8,Hectares,Western Little Karoo,0,2018
9/1/18,722480.9433,9,Hectares,Western Little Karoo,0,2018
10/1/18,722480.9433,10,Hectares,Western Little Karoo,688.1320849,2018
11/1/18,722480.9433,11,Hectares,Western Little Karoo,303.122463,2018
12/1/18,722480.9433,12,Hectares,Western Little Karoo,0,2018
1/1/19,722480.9433,1,Hectares,Western Little Karoo,0,2019
2/1/19,722480.9433,2,Hectares,Western Little Karoo,0,2019
3/1/19,722480.9433,3,Hectares,Western Little Karoo,0,2019
4/1/19,722480.9433,4,Hectares,Western Little Karoo,0,2019
5/1/19,722480.9433,5,Hectares,Western Little Karoo,0,2019
6/1/19,722480.9433,6,Hectares,Western Little Karoo,0,2019
7/1/19,722480.9433,7,Hectares,Western Little Karoo,0,2019
8/1/19,722480.9433,8,Hectares,Western Little Karoo,0,2019
9/1/19,722480.9433,9,Hectares,Western Little Karoo,0,2019
10/1/19,722480.9433,10,Hectares,Western Little Karoo,0,2019
11/1/19,722480.9433,11,Hectares,Western Little Karoo,0,2019
12/1/19,722480.9433,12,Hectares,Western Little Karoo,0,2019
1/1/20,722480.9433,1,Hectares,Western Little Karoo,0,2020
2/1/20,722480.9433,2,Hectares,Western Little Karoo,0,2020
3/1/20,722480.9433,3,Hectares,Western Little Karoo,0,2020
4/1/20,722480.9433,4,Hectares,Western Little Karoo,0,2020
5/1/20,722480.9433,5,Hectares,Western Little Karoo,0,2020
6/1/20,722480.9433,6,Hectares,Western Little Karoo,0,2020
7/1/20,722480.9433,7,Hectares,Western Little Karoo,0,2020
8/1/20,722480.9433,8,Hectares,Western Little Karoo,0,2020
9/1/20,722480.9433,9,Hectares,Western Little Karoo,0,2020
10/1/20,722480.9433,10,Hectares,Western Little Karoo,0,2020
11/1/20,722480.9433,11,Hectares,Western Little Karoo,0,2020
12/1/20,722480.9433,12,Hectares,Western Little Karoo,0,2020
1/1/21,722480.9433,1,Hectares,Western Little Karoo,166.2029171,2021
2/1/21,722480.9433,2,Hectares,Western Little Karoo,374.819173,2021
3/1/21,722480.9433,3,Hectares,Western Little Karoo,0,2021
4/1/21,722480.9433,4,Hectares,Western Little Karoo,0,2021
5/1/21,722480.9433,5,Hectares,Western Little Karoo,0,2021
6/1/21,722480.9433,6,Hectares,Western Little Karoo,0,2021
7/1/21,722480.9433,7,Hectares,Western Little Karoo,0,2021
8/1/21,722480.9433,8,Hectares,Western Little Karoo,0,2021
9/1/21,722480.9433,9,Hectares,Western Little Karoo,0,2021
10/1/21,722480.9433,10,Hectares,Western Little Karoo,0,2021
11/1/21,722480.9433,11,Hectares,Western Little Karoo,0,2021
12/1/21,722480.9433,12,Hectares,Western Little Karoo,0,2021
1/1/22,722480.9433,1,Hectares,Western Little Karoo,0,2022
2/1/22,722480.9433,2,Hectares,Western Little Karoo,737.1032753,2022
3/1/22,722480.9433,3,Hectares,Western Little Karoo,0,2022
4/1/22,722480.9433,4,Hectares,Western Little Karoo,0,2022
5/1/22,722480.9433,5,Hectares,Western Little Karoo,0,2022
6/1/22,722480.9433,6,Hectares,Western Little Karoo,0,2022
7/1/22,722480.9433,7,Hectares,Western Little Karoo,0,2022
8/1/22,722480.9433,8,Hectares,Western Little Karoo,0,2022
9/1/22,722480.9433,9,Hectares,Western Little Karoo,0,2022
10/1/22,722480.9433,10,Hectares,Western Little Karoo,0,2022
11/1/22,722480.9433,11,Hectares,Western Little Karoo,0,2022
12/1/22,722480.9433,12,Hectares,Western Little Karoo,0,2022
11/1/00,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2000
12/1/00,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2000
1/1/01,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2001
2/1/01,173802.2575,2,Hectares,Anysberge & West Swartberg,7715.733906,2001
3/1/01,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2001
4/1/01,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2001
5/1/01,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2001
6/1/01,173802.2575,6,Hectares,Anysberge & West Swartberg,665.1837969,2001
7/1/01,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2001
8/1/01,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2001
9/1/01,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2001
10/1/01,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2001
11/1/01,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2001
12/1/01,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2001
1/1/02,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2002
2/1/02,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2002
3/1/02,173802.2575,3,Hectares,Anysberge & West Swartberg,3325.844142,2002
4/1/02,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2002
5/1/02,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2002
6/1/02,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2002
7/1/02,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2002
8/1/02,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2002
9/1/02,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2002
10/1/02,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2002
11/1/02,173802.2575,11,Hectares,Anysberge & West Swartberg,7016.176714,2002
12/1/02,173802.2575,12,Hectares,Anysberge & West Swartberg,3948.078036,2002
1/1/03,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2003
2/1/03,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2003
3/1/03,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2003
4/1/03,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2003
5/1/03,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2003
6/1/03,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2003
7/1/03,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2003
8/1/03,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2003
9/1/03,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2003
10/1/03,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2003
11/1/03,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2003
12/1/03,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2003
1/1/04,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2004
2/1/04,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2004
3/1/04,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2004
4/1/04,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2004
5/1/04,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2004
6/1/04,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2004
7/1/04,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2004
8/1/04,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2004
9/1/04,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2004
10/1/04,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2004
11/1/04,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2004
12/1/04,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2004
1/1/05,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2005
2/1/05,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2005
3/1/05,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2005
4/1/05,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2005
5/1/05,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2005
6/1/05,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2005
7/1/05,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2005
8/1/05,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2005
9/1/05,173802.2575,9,Hectares,Anysberge & West Swartberg,1544.896411,2005
10/1/05,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2005
11/1/05,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2005
12/1/05,173802.2575,12,Hectares,Anysberge & West Swartberg,214.5651719,2005
1/1/06,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2006
2/1/06,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2006
3/1/06,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2006
4/1/06,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2006
5/1/06,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2006
6/1/06,173802.2575,6,Hectares,Anysberge & West Swartberg,750.9907453,2006
7/1/06,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2006
8/1/06,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2006
9/1/06,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2006
10/1/06,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2006
11/1/06,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2006
12/1/06,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2006
1/1/07,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2007
2/1/07,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2007
3/1/07,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2007
4/1/07,173802.2575,4,Hectares,Anysberge & West Swartberg,1115.757053,2007
5/1/07,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2007
6/1/07,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2007
7/1/07,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2007
8/1/07,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2007
9/1/07,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2007
10/1/07,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2007
11/1/07,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2007
12/1/07,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2007
1/1/08,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2008
2/1/08,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2008
3/1/08,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2008
4/1/08,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2008
5/1/08,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2008
6/1/08,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2008
7/1/08,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2008
8/1/08,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2008
9/1/08,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2008
10/1/08,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2008
11/1/08,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2008
12/1/08,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2008
1/1/09,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2009
2/1/09,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2009
3/1/09,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2009
4/1/09,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2009
5/1/09,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2009
6/1/09,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2009
7/1/09,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2009
8/1/09,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2009
9/1/09,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2009
10/1/09,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2009
11/1/09,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2009
12/1/09,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2009
1/1/10,173802.2575,1,Hectares,Anysberge & West Swartberg,10878.75792,2010
2/1/10,173802.2575,2,Hectares,Anysberge & West Swartberg,0,2010
3/1/10,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2010
4/1/10,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2010
5/1/10,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2010
6/1/10,173802.2575,6,Hectares,Anysberge & West Swartberg,5128.231345,2010
7/1/10,173802.2575,7,Hectares,Anysberge & West Swartberg,42.91417031,2010
8/1/10,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2010
9/1/10,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2010
10/1/10,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2010
11/1/10,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2010
12/1/10,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2010
1/1/11,173802.2575,1,Hectares,Anysberge & West Swartberg,0,2011
2/1/11,173802.2575,2,Hectares,Anysberge & West Swartberg,600.7888406,2011
3/1/11,173802.2575,3,Hectares,Anysberge & West Swartberg,0,2011
4/1/11,173802.2575,4,Hectares,Anysberge & West Swartberg,0,2011
5/1/11,173802.2575,5,Hectares,Anysberge & West Swartberg,0,2011
6/1/11,173802.2575,6,Hectares,Anysberge & West Swartberg,0,2011
7/1/11,173802.2575,7,Hectares,Anysberge & West Swartberg,0,2011
8/1/11,173802.2575,8,Hectares,Anysberge & West Swartberg,0,2011
9/1/11,173802.2575,9,Hectares,Anysberge & West Swartberg,0,2011
10/1/11,173802.2575,10,Hectares,Anysberge & West Swartberg,0,2011
11/1/11,173802.2575,11,Hectares,Anysberge & West Swartberg,0,2011
12/1/11,173802.2575,12,Hectares,Anysberge & West Swartberg,0,2011
